time,temperature_celsius,relative_humidity_percent,barometric_pressure_hpa,is_holiday,is_weekend,available_bikes,available_docks,hour_sin,hour_cos
2024-12-01 00:00:00,13.89,84.97,1002.45,0.0,1.0,1.0,39.0,0.0,1.0
2024-12-01 01:00:00,13.89,84.97,1002.45,0.0,1.0,1.0,39.0,0.269797,0.962917
2024-12-01 02:00:00,13.89,84.97,1002.45,0.0,1.0,1.0,39.0,0.519584,0.854419
2024-12-01 03:00:00,12.25,88.14,1000.22,0.0,1.0,1.0,39.0,0.730836,0.682553
2024-12-01 04:00:00,12.25,88.14,1000.22,0.0,1.0,1.0,39.0,0.887885,0.460065
2024-12-01 05:00:00,12.25,88.14,1000.22,0.0,1.0,1.0,39.0,0.979084,0.203456
2024-12-01 06:00:00,12.25,88.14,1000.22,0.0,1.0,1.0,39.0,0.997669,-0.068242
2024-12-01 07:00:00,11.24,89.8,1000.09,0.0,1.0,1.0,39.0,0.942261,-0.33488
2024-12-01 08:00:00,11.84,86.9,1000.32,0.0,1.0,1.0,39.0,0.81697,-0.57668
2024-12-01 09:00:00,12.17,87.61,1000.44,0.0,1.0,0.0,40.0,0.631088,-0.775711
2024-12-01 10:00:00,12.79,83.66,1000.56,0.0,1.0,4.0,36.0,0.398401,-0.917211
2024-12-01 11:00:00,13.55,78.37,1000.6,0.0,1.0,8.0,32.0,0.136167,-0.990686
2024-12-01 12:00:00,12.85,80.96,1000.62,0.0,1.0,6.0,34.0,-0.136167,-0.990686
2024-12-01 13:00:00,12.77,80.18,1000.27,0.0,1.0,3.0,37.0,-0.398401,-0.917211
2024-12-01 14:00:00,12.37,83.14,1000.14,0.0,1.0,0.0,40.0,-0.631088,-0.775711
2024-12-01 15:00:00,12.06,86.08,1000.15,0.0,1.0,0.0,40.0,-0.81697,-0.57668
2024-12-01 16:00:00,11.08,92.57,1000.46,0.0,1.0,0.0,40.0,-0.942261,-0.33488
2024-12-01 17:00:00,11.08,92.57,1000.46,0.0,1.0,0.0,40.0,-0.997669,-0.068242
2024-12-01 18:00:00,8.59,90.76,1001.82,0.0,1.0,2.0,38.0,-0.979084,0.203456
2024-12-01 19:00:00,8.59,90.76,1001.82,0.0,1.0,2.0,38.0,-0.887885,0.460065
2024-12-01 20:00:00,8.51,89.09,1001.57,0.0,1.0,1.0,39.0,-0.730836,0.682553
2024-12-01 21:00:00,8.51,89.09,1001.57,0.0,1.0,1.0,39.0,-0.519584,0.854419
2024-12-01 22:00:00,9.01,88.46,1001.82,0.0,1.0,2.0,38.0,-0.269797,0.962917
2024-12-01 23:00:00,9.03,89.07,1002.11,0.0,1.0,1.0,39.0,-0.0,1.0
2024-12-02 00:00:00,8.52,94.2,1003.39,0.0,0.0,1.0,39.0,0.0,1.0
2024-12-02 01:00:00,8.52,94.2,1003.39,0.0,0.0,1.0,39.0,0.269797,0.962917
2024-12-02 02:00:00,7.99,91.68,1004.89,0.0,0.0,1.0,39.0,0.519584,0.854419
