district,dt,future_dt,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,pop,rain_1h,snow_1h,weather_id,weather_main,weather_description,weather_icon
Dublin 1,2025-02-22 08:00:11,2025-02-22 08:00:00,281.02,278.19,1006,83,278.32,20,0.08,10000,4.73,11.94,229,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 08:00:11,2025-02-22 09:00:00,280.94,277.91,1006,82,278.06,16,0.3,10000,5.15,12.09,233,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 08:00:11,2025-02-22 10:00:00,281.36,278.14,1007,81,278.3,12,0.61,10000,5.93,12.24,236,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 08:00:11,2025-02-22 11:00:00,282.05,278.89,1008,79,278.61,10,0.93,10000,6.33,11.41,239,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-22 12:00:00,282.96,280.13,1009,73,278.36,7,1.13,10000,6.05,9.65,243,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-22 13:00:00,284.11,283.04,1010,68,277.95,5,1.14,10000,5.96,9.27,248,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-22 14:00:00,284.23,283.14,1011,67,277.87,6,0.92,10000,5.76,9.16,248,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-22 15:00:00,284.22,283.16,1011,68,278.26,6,0.6,10000,5.11,9.18,245,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-22 16:00:00,283.74,282.71,1012,71,278.29,6,0.28,10000,4.73,8.97,242,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-22 17:00:00,282.61,280.52,1013,75,278.06,6,0.0,10000,3.93,8.57,235,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-22 18:00:00,280.92,278.64,1014,82,277.61,5,0.0,10000,3.57,8.87,228,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 08:00:11,2025-02-22 19:00:00,280.07,277.85,1014,86,277.49,5,0.0,10000,3.17,7.78,209,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 08:00:11,2025-02-22 20:00:00,279.42,277.32,1015,88,277.26,2,0.0,10000,2.81,4.17,188,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 08:00:11,2025-02-22 21:00:00,279.24,276.92,1015,89,277.16,4,0.0,10000,3.06,4.33,179,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 08:00:11,2025-02-22 22:00:00,279.64,277.18,1015,85,276.93,29,0.0,10000,3.41,7.88,190,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-22 23:00:00,279.66,277.07,1015,82,276.32,29,0.0,10000,3.64,8.31,187,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-23 00:00:00,280.12,277.25,1014,81,276.66,38,0.0,10000,4.36,9.55,172,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-23 01:00:00,280.64,277.56,1013,79,276.89,100,0.0,10000,5.09,12.75,178,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-23 02:00:00,281.64,278.33,1012,76,277.26,100,0.0,10000,6.42,15.51,177,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-23 03:00:00,282.3,278.73,1011,76,277.92,100,0.0,10000,7.95,17.99,180,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-23 04:00:00,282.8,279.07,1009,75,278.18,100,0.0,10000,9.22,20.22,181,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-23 05:00:00,283.07,279.18,1008,73,278.1,100,0.0,10000,10.36,21.64,184,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-23 06:00:00,283.07,278.96,1007,75,278.39,100,0.0,10000,11.46,22.46,188,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-23 07:00:00,282.88,278.79,1005,81,279.27,100,0.0,10000,11.05,21.34,179,0.93,,,500,Rain,light rain,10n
Dublin 1,2025-02-22 08:00:11,2025-02-23 08:00:00,282.91,279.05,1004,85,280.17,100,0.01,10000,9.98,22.58,178,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 09:00:00,283.3,282.62,1003,86,280.7,100,0.07,10000,10.2,21.5,181,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 10:00:00,283.84,283.24,1002,87,281.36,100,0.07,6602,10.32,23.2,183,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 11:00:00,284.39,283.82,1002,86,281.77,100,0.14,9818,10.28,22.97,189,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 12:00:00,284.96,284.47,1001,87,282.37,100,0.15,10000,10.14,23.65,191,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 13:00:00,285.13,284.71,1000,89,282.88,100,0.24,10000,9.45,23.33,195,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 14:00:00,285.11,284.71,1001,90,282.99,100,0.13,4607,9.13,19.61,209,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 15:00:00,284.18,283.58,1001,86,281.52,100,0.06,10000,8.35,16.25,217,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-23 16:00:00,284.19,283.52,1001,83,281.08,100,0.1,10000,8.5,16.2,211,0.8,,,804,Clouds,overcast clouds,04d
Dublin 1,2025-02-22 08:00:11,2025-02-23 17:00:00,283.78,283.07,1002,83,280.68,98,0.0,10000,8.78,16.12,215,0.8,,,804,Clouds,overcast clouds,04d
Dublin 1,2025-02-22 08:00:11,2025-02-23 18:00:00,283.3,282.54,1002,83,280.19,95,0.0,10000,8.75,16.25,214,0.8,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-23 19:00:00,282.92,279.32,1003,84,279.82,0,0.0,10000,8.84,16.27,212,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 08:00:11,2025-02-23 20:00:00,282.71,279.11,1003,83,279.62,43,0.0,10000,8.57,15.83,210,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-23 21:00:00,282.37,278.73,1003,83,279.2,26,0.0,10000,8.3,15.76,214,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-23 22:00:00,281.95,278.17,1004,83,278.91,17,0.0,10000,8.35,15.77,212,0.0,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 08:00:11,2025-02-23 23:00:00,281.66,277.94,1004,84,278.62,13,0.0,10000,7.8,15.53,218,0.0,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 08:00:11,2025-02-24 00:00:00,281.42,277.61,1004,84,278.43,9,0.0,10000,7.86,15.43,218,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 08:00:11,2025-02-24 01:00:00,281.16,277.52,1004,84,278.17,0,0.0,10000,7.03,14.95,222,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 08:00:11,2025-02-24 02:00:00,281.01,277.29,1005,83,277.84,30,0.0,10000,7.14,14.89,223,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-24 03:00:00,280.92,277.19,1005,82,277.62,53,0.0,10000,7.09,14.66,228,0.0,,,803,Clouds,broken clouds,04n
Dublin 1,2025-02-22 08:00:11,2025-02-24 04:00:00,280.45,276.84,1005,84,277.46,41,0.0,10000,6.35,13.96,230,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-24 05:00:00,280.28,276.64,1006,84,277.38,33,0.0,10000,6.29,13.86,232,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-24 06:00:00,280.13,276.48,1006,84,277.24,29,0.0,10000,6.21,13.77,232,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 08:00:11,2025-02-24 07:00:00,279.99,276.29,1006,84,277.08,3,0.0,10000,6.24,13.65,230,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-22 09:00:00,282.45,279.81,1007,78,278.82,20,0.3,10000,5.15,12.09,233,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 09:01:07,2025-02-22 10:00:00,282.33,279.37,1007,78,278.7,16,0.61,10000,5.93,12.24,236,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 09:01:07,2025-02-22 11:00:00,282.56,279.54,1008,77,278.74,13,0.93,10000,6.33,11.41,239,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 09:01:07,2025-02-22 12:00:00,283.04,280.24,1009,73,278.43,10,1.13,10000,6.05,9.65,243,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 09:01:07,2025-02-22 13:00:00,283.78,282.73,1009,70,278.54,8,1.14,10000,5.96,9.27,248,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 09:01:07,2025-02-22 14:00:00,284.23,283.14,1011,67,277.87,6,0.92,10000,5.76,9.16,248,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 09:01:07,2025-02-22 15:00:00,284.22,283.16,1011,68,278.26,6,0.6,10000,5.11,9.18,245,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 09:01:07,2025-02-22 16:00:00,283.74,282.71,1012,71,278.29,6,0.28,10000,4.73,8.97,242,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 09:01:07,2025-02-22 17:00:00,282.61,280.52,1013,75,278.06,6,0.0,10000,3.93,8.57,235,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 09:01:07,2025-02-22 18:00:00,280.92,278.64,1014,82,277.61,5,0.0,10000,3.57,8.87,228,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-22 19:00:00,280.07,277.85,1014,86,277.49,5,0.0,10000,3.17,7.78,209,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-22 20:00:00,279.42,277.32,1015,88,277.26,2,0.0,10000,2.81,4.17,188,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-22 21:00:00,279.24,276.92,1015,89,277.16,4,0.0,10000,3.06,4.33,179,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-22 22:00:00,279.64,277.18,1015,85,276.93,29,0.0,10000,3.41,7.88,190,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-22 23:00:00,279.66,277.07,1015,82,276.32,29,0.0,10000,3.64,8.31,187,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-23 00:00:00,280.12,277.25,1014,81,276.66,38,0.0,10000,4.36,9.55,172,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-23 01:00:00,280.64,277.56,1013,79,276.89,100,0.0,10000,5.09,12.75,178,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-23 02:00:00,281.64,278.33,1012,76,277.26,100,0.0,10000,6.42,15.51,177,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-23 03:00:00,282.3,278.73,1011,76,277.92,100,0.0,10000,7.95,17.99,180,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-23 04:00:00,282.8,279.07,1009,75,278.18,100,0.0,10000,9.22,20.22,181,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-23 05:00:00,283.07,279.18,1008,73,278.1,100,0.0,10000,10.36,21.64,184,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-23 06:00:00,283.07,278.96,1007,75,278.39,100,0.0,10000,11.46,22.46,188,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-23 07:00:00,282.88,278.79,1005,81,279.27,100,0.0,10000,11.05,21.34,179,0.93,,,500,Rain,light rain,10n
Dublin 1,2025-02-22 09:01:07,2025-02-23 08:00:00,282.91,279.05,1004,85,280.17,100,0.01,10000,9.98,22.58,178,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 09:00:00,283.3,282.62,1003,86,280.7,100,0.07,10000,10.2,21.5,181,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 10:00:00,283.84,283.24,1002,87,281.36,100,0.07,6602,10.32,23.2,183,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 11:00:00,284.39,283.82,1002,86,281.77,100,0.14,9818,10.28,22.97,189,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 12:00:00,284.96,284.47,1001,87,282.37,100,0.15,10000,10.14,23.65,191,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 13:00:00,285.13,284.71,1000,89,282.88,100,0.24,10000,9.45,23.33,195,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 14:00:00,285.11,284.71,1001,90,282.99,100,0.13,4607,9.13,19.61,209,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 15:00:00,284.18,283.58,1001,86,281.52,100,0.06,10000,8.35,16.25,217,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-23 16:00:00,284.19,283.52,1001,83,281.08,100,0.1,10000,8.5,16.2,211,0.8,,,804,Clouds,overcast clouds,04d
Dublin 1,2025-02-22 09:01:07,2025-02-23 17:00:00,283.78,283.07,1002,83,280.68,98,0.0,10000,8.78,16.12,215,0.8,,,804,Clouds,overcast clouds,04d
Dublin 1,2025-02-22 09:01:07,2025-02-23 18:00:00,283.3,282.54,1002,83,280.19,95,0.0,10000,8.75,16.25,214,0.8,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-23 19:00:00,282.92,279.32,1003,84,279.82,0,0.0,10000,8.84,16.27,212,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-23 20:00:00,282.71,279.11,1003,83,279.62,43,0.0,10000,8.57,15.83,210,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-23 21:00:00,282.37,278.73,1003,83,279.2,26,0.0,10000,8.3,15.76,214,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-23 22:00:00,281.95,278.17,1004,83,278.91,17,0.0,10000,8.35,15.77,212,0.0,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 09:01:07,2025-02-23 23:00:00,281.66,277.94,1004,84,278.62,13,0.0,10000,7.8,15.53,218,0.0,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 09:01:07,2025-02-24 00:00:00,281.42,277.61,1004,84,278.43,9,0.0,10000,7.86,15.43,218,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-24 01:00:00,281.16,277.52,1004,84,278.17,0,0.0,10000,7.03,14.95,222,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-24 02:00:00,281.01,277.29,1005,83,277.84,30,0.0,10000,7.14,14.89,223,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-24 03:00:00,280.92,277.19,1005,82,277.62,53,0.0,10000,7.09,14.66,228,0.0,,,803,Clouds,broken clouds,04n
Dublin 1,2025-02-22 09:01:07,2025-02-24 04:00:00,280.45,276.84,1005,84,277.46,41,0.0,10000,6.35,13.96,230,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-24 05:00:00,280.28,276.64,1006,84,277.38,33,0.0,10000,6.29,13.86,232,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-24 06:00:00,280.13,276.48,1006,84,277.24,29,0.0,10000,6.21,13.77,232,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 09:01:07,2025-02-24 07:00:00,279.99,276.29,1006,84,277.08,3,0.0,10000,6.24,13.65,230,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 09:01:07,2025-02-24 08:00:00,280.03,276.44,1007,84,277.03,11,0.09,10000,5.99,13.56,233,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 10:02:02,2025-02-22 10:00:00,283.71,282.73,1008,73,279.08,20,0.61,10000,5.93,12.24,236,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 10:02:02,2025-02-22 11:00:00,283.51,282.53,1008,74,279.08,17,0.93,10000,6.33,11.41,239,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 10:02:02,2025-02-22 12:00:00,283.6,282.58,1009,72,278.77,14,1.13,10000,6.05,9.65,243,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 10:02:02,2025-02-22 13:00:00,283.95,282.91,1009,70,278.7,11,1.14,10000,5.96,9.27,248,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 10:02:02,2025-02-22 14:00:00,284.13,283.06,1010,68,278.46,9,0.92,10000,5.76,9.16,248,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 10:02:02,2025-02-22 15:00:00,284.22,283.16,1011,68,278.26,6,0.6,10000,5.11,9.18,245,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 10:02:02,2025-02-22 16:00:00,283.74,282.71,1012,71,278.29,6,0.28,10000,4.73,8.97,242,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 10:02:02,2025-02-22 17:00:00,282.61,280.52,1013,75,278.06,6,0.0,10000,3.93,8.57,235,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 10:02:02,2025-02-22 18:00:00,280.92,278.64,1014,82,277.61,5,0.0,10000,3.57,8.87,228,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-22 19:00:00,280.07,277.85,1014,86,277.49,5,0.0,10000,3.17,7.78,209,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-22 20:00:00,279.42,277.32,1015,88,277.26,2,0.0,10000,2.81,4.17,188,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-22 21:00:00,279.24,276.92,1015,89,277.16,4,0.0,10000,3.06,4.33,179,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-22 22:00:00,279.64,277.18,1015,85,276.93,29,0.0,10000,3.41,7.88,190,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-22 23:00:00,279.66,277.07,1015,82,276.32,29,0.0,10000,3.64,8.31,187,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-23 00:00:00,280.12,277.25,1014,81,276.66,38,0.0,10000,4.36,9.55,172,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-23 01:00:00,280.64,277.56,1013,79,276.89,100,0.0,10000,5.09,12.75,178,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-23 02:00:00,281.64,278.33,1012,76,277.26,100,0.0,10000,6.42,15.51,177,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-23 03:00:00,282.3,278.73,1011,76,277.92,100,0.0,10000,7.95,17.99,180,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-23 04:00:00,282.8,279.07,1009,75,278.18,100,0.0,10000,9.22,20.22,181,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-23 05:00:00,283.07,279.18,1008,73,278.1,100,0.0,10000,10.36,21.64,184,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-23 06:00:00,283.07,278.96,1007,75,278.39,100,0.0,10000,11.46,22.46,188,0.0,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-23 07:00:00,282.88,278.79,1005,81,279.27,100,0.0,10000,11.05,21.34,179,0.93,,,500,Rain,light rain,10n
Dublin 1,2025-02-22 10:02:02,2025-02-23 08:00:00,282.91,279.05,1004,85,280.17,100,0.01,10000,9.98,22.58,178,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 09:00:00,283.3,282.62,1003,86,280.7,100,0.07,10000,10.2,21.5,181,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 10:00:00,283.84,283.24,1002,87,281.36,100,0.07,6602,10.32,23.2,183,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 11:00:00,284.39,283.82,1002,86,281.77,100,0.14,9818,10.28,22.97,189,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 12:00:00,284.96,284.47,1001,87,282.37,100,0.15,10000,10.14,23.65,191,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 13:00:00,285.13,284.71,1000,89,282.88,100,0.24,10000,9.45,23.33,195,1.0,,,500,Rain,light rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 14:00:00,285.11,284.71,1001,90,282.99,100,0.13,4607,9.13,19.61,209,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 15:00:00,284.18,283.58,1001,86,281.52,100,0.06,10000,8.35,16.25,217,1.0,,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 10:02:02,2025-02-23 16:00:00,284.19,283.52,1001,83,281.08,100,0.1,10000,8.5,16.2,211,0.8,,,804,Clouds,overcast clouds,04d
Dublin 1,2025-02-22 10:02:02,2025-02-23 17:00:00,283.78,283.07,1002,83,280.68,98,0.0,10000,8.78,16.12,215,0.8,,,804,Clouds,overcast clouds,04d
Dublin 1,2025-02-22 10:02:02,2025-02-23 18:00:00,283.3,282.54,1002,83,280.19,95,0.0,10000,8.75,16.25,214,0.8,,,804,Clouds,overcast clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-23 19:00:00,282.92,279.32,1003,84,279.82,0,0.0,10000,8.84,16.27,212,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-23 20:00:00,282.71,279.11,1003,83,279.62,43,0.0,10000,8.57,15.83,210,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-23 21:00:00,282.37,278.73,1003,83,279.2,26,0.0,10000,8.3,15.76,214,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-23 22:00:00,281.95,278.17,1004,83,278.91,17,0.0,10000,8.35,15.77,212,0.0,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 10:02:02,2025-02-23 23:00:00,281.66,277.94,1004,84,278.62,13,0.0,10000,7.8,15.53,218,0.0,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 10:02:02,2025-02-24 00:00:00,281.42,277.61,1004,84,278.43,9,0.0,10000,7.86,15.43,218,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-24 01:00:00,281.16,277.52,1004,84,278.17,0,0.0,10000,7.03,14.95,222,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-24 02:00:00,281.01,277.29,1005,83,277.84,30,0.0,10000,7.14,14.89,223,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-24 03:00:00,280.92,277.19,1005,82,277.62,53,0.0,10000,7.09,14.66,228,0.0,,,803,Clouds,broken clouds,04n
Dublin 1,2025-02-22 10:02:02,2025-02-24 04:00:00,280.45,276.84,1005,84,277.46,41,0.0,10000,6.35,13.96,230,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-24 05:00:00,280.28,276.64,1006,84,277.38,33,0.0,10000,6.29,13.86,232,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-24 06:00:00,280.13,276.48,1006,84,277.24,29,0.0,10000,6.21,13.77,232,0.0,,,802,Clouds,scattered clouds,03n
Dublin 1,2025-02-22 10:02:02,2025-02-24 07:00:00,279.99,276.29,1006,84,277.08,3,0.0,10000,6.24,13.65,230,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 10:02:02,2025-02-24 08:00:00,280.03,276.44,1007,84,277.03,11,0.09,10000,5.99,13.56,233,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 10:02:02,2025-02-24 09:00:00,280.84,277.59,1007,81,277.41,15,0.33,10000,5.66,12.56,233,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 11:02:58,2025-02-22 11:00:00,283.96,283.05,1009,75,279.71,20,0.93,10000,6.33,11.41,239,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 11:02:58,2025-02-22 12:00:00,283.86,282.92,1009,74,279.42,17,1.13,10000,6.05,9.65,243,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 11:02:58,2025-02-22 13:00:00,284.02,283.04,1009,72,279.18,14,1.14,10000,5.96,9.27,248,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 11:02:58,2025-02-22 14:00:00,284.12,283.1,1010,70,278.87,12,0.92,10000,5.76,9.16,248,0.0,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 11:02:58,2025-02-22 15:00:00,284.17,283.13,1011,69,278.71,9,0.6,10000,5.11,9.18,245,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 11:02:58,2025-02-22 16:00:00,283.74,282.71,1012,71,278.29,6,0.28,10000,4.73,8.97,242,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 11:02:58,2025-02-22 17:00:00,282.61,280.52,1013,75,278.06,6,0.0,10000,3.93,8.57,235,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 11:02:58,2025-02-22 18:00:00,280.92,278.64,1014,82,277.61,5,0.0,10000,3.57,8.87,228,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 11:02:58,2025-02-22 19:00:00,280.07,277.85,1014,86,277.49,5,0.0,10000,3.17,7.78,209,0.0,,,800,Clear,clear sky,01n
Dublin 1,2025-02-22 11:02:58,2025-02-22 20:00:00,279.42,277.32,1015,88,277.26,2,0.0,10000,2.81,4.17,188,0.0,,,800,Clear,clear sky,01n
