time,temperature_celsius,relative_humidity_percent,barometric_pressure_hpa,is_holiday,is_weekend,available_bikes,available_docks,hour_sin,hour_cos
2024-12-01 00:00:00,13.87,85.23,1002.37,0.0,1.0,14.0,6.0,0.0,1.0
2024-12-01 01:00:00,13.53,87.43,1001.77,0.0,1.0,15.0,5.0,0.269797,0.962917
2024-12-01 02:00:00,13.64,86.76,1001.5,0.0,1.0,15.0,5.0,0.519584,0.854419
2024-12-01 03:00:00,13.39,86.19,1000.96,0.0,1.0,15.0,5.0,0.730836,0.682553
2024-12-01 04:00:00,12.59,87.07,1000.24,0.0,1.0,15.0,5.0,0.887885,0.460065
2024-12-01 05:00:00,11.91,89.06,1000.22,0.0,1.0,15.0,5.0,0.979084,0.203456
2024-12-01 06:00:00,11.37,89.89,1000.14,0.0,1.0,15.0,5.0,0.997669,-0.068242
2024-12-01 07:00:00,11.22,89.75,1000.15,0.0,1.0,14.0,6.0,0.942261,-0.33488
2024-12-01 08:00:00,11.83,87.26,1000.31,0.0,1.0,12.0,8.0,0.81697,-0.57668
2024-12-01 09:00:00,12.17,87.61,1000.44,0.0,1.0,12.0,8.0,0.631088,-0.775711
2024-12-01 10:00:00,12.79,83.66,1000.56,0.0,1.0,12.0,8.0,0.398401,-0.917211
2024-12-01 11:00:00,13.55,78.37,1000.6,0.0,1.0,12.0,8.0,0.136167,-0.990686
2024-12-01 12:00:00,12.85,80.96,1000.62,0.0,1.0,10.0,10.0,-0.136167,-0.990686
2024-12-01 13:00:00,12.79,80.45,1000.29,0.0,1.0,9.0,11.0,-0.398401,-0.917211
2024-12-01 14:00:00,12.38,83.37,1000.14,0.0,1.0,8.0,12.0,-0.631088,-0.775711
2024-12-01 15:00:00,11.95,87.11,1000.29,0.0,1.0,6.0,14.0,-0.81697,-0.57668
2024-12-01 16:00:00,11.18,91.46,1000.4,0.0,1.0,5.0,15.0,-0.942261,-0.33488
2024-12-01 17:00:00,11.18,91.46,1000.4,0.0,1.0,5.0,15.0,-0.997669,-0.068242
2024-12-01 18:00:00,9.28,91.71,1001.66,0.0,1.0,5.0,15.0,-0.979084,0.203456
2024-12-01 19:00:00,9.28,91.71,1001.66,0.0,1.0,5.0,15.0,-0.887885,0.460065
2024-12-01 20:00:00,8.57,89.18,1001.56,0.0,1.0,3.0,17.0,-0.730836,0.682553
2024-12-01 21:00:00,8.81,89.52,1001.7,0.0,1.0,1.0,19.0,-0.519584,0.854419
2024-12-01 22:00:00,9.02,88.5,1001.83,0.0,1.0,2.0,18.0,-0.269797,0.962917
2024-12-01 23:00:00,8.83,91.48,1002.53,0.0,1.0,1.0,19.0,-0.0,1.0
2024-12-02 00:00:00,8.51,94.18,1003.29,0.0,0.0,0.0,20.0,0.0,1.0
2024-12-02 01:00:00,8.43,89.61,1003.94,0.0,0.0,0.0,20.0,0.269797,0.962917
2024-12-02 02:00:00,8.08,91.37,1004.69,0.0,0.0,0.0,20.0,0.519584,0.854419
2024-12-02 03:00:00,8.08,91.37,1004.69,0.0,0.0,0.0,20.0,0.730836,0.682553
2024-12-02 04:00:00,6.15,86.41,1006.87,0.0,0.0,0.0,20.0,0.887885,0.460065
2024-12-02 05:00:00,6.25,85.8,1007.47,0.0,0.0,0.0,20.0,0.979084,0.203456
2024-12-02 06:00:00,6.34,83.61,1008.38,0.0,0.0,0.0,20.0,0.997669,-0.068242
2024-12-02 07:00:00,5.33,86.21,1009.26,0.0,0.0,0.0,20.0,0.942261,-0.33488
2024-12-02 08:00:00,4.72,87.79,1010.43,0.0,0.0,0.0,20.0,0.81697,-0.57668
2024-12-02 09:00:00,4.64,87.21,1011.79,0.0,0.0,6.0,14.0,0.631088,-0.775711
2024-12-02 10:00:00,5.43,80.61,1012.6,0.0,0.0,6.0,14.0,0.398401,-0.917211
2024-12-02 11:00:00,6.16,73.18,1013.3,0.0,0.0,6.0,14.0,0.136167,-0.990686
2024-12-02 12:00:00,6.11,71.17,1013.26,0.0,0.0,2.0,18.0,-0.136167,-0.990686
2024-12-02 13:00:00,6.25,68.0,1013.84,0.0,0.0,1.0,19.0,-0.398401,-0.917211
2024-12-02 14:00:00,5.93,69.07,1014.2,0.0,0.0,1.0,19.0,-0.631088,-0.775711
2024-12-02 15:00:00,5.93,69.07,1014.2,0.0,0.0,1.0,19.0,-0.81697,-0.57668
2024-12-02 16:00:00,3.68,72.67,1015.22,0.0,0.0,2.0,18.0,-0.942261,-0.33488
2024-12-02 17:00:00,3.1,80.64,1015.53,0.0,0.0,4.0,16.0,-0.997669,-0.068242
2024-12-02 18:00:00,1.54,86.48,1015.65,0.0,0.0,9.0,11.0,-0.979084,0.203456
2024-12-02 19:00:00,1.56,89.59,1015.89,0.0,0.0,6.0,14.0,-0.887885,0.460065
2024-12-02 20:00:00,1.79,89.33,1015.92,0.0,0.0,6.0,14.0,-0.730836,0.682553
